Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Accounting,Actuarial Science,Advertising,Agriculture,Animal Bioscience,Anthropology,Applied Mathematics,Archaeology,Architectural Engineering,Studio Art and Theater,Biobehavioral Health,Biochemistry,Chemical Engineering,Civil Engineering,Computer Engineering & Computer Science,"Crime, Law, and Justice",Electrical Engineering,History,Kinesiology,Social Work,Theater,Women's Studies,Psychology,Music,Nursing and Pre-med
,,,,,,,,,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
10842949971,240382712,7/6/2019 2:52,7/6/2019 2:54,174.230.129.86,,,,,3,4,4,4,4,3,3,3,2,3,4,4,4,5,4,5,3,3,3,3,3,3,5,4,5
10842892950,240382712,7/6/2019 1:21,7/6/2019 1:30,37.237.168.14,,,,,4,5,5,4,1,1,4,1,3,1,1,1,3,1,3,1,3,1,2,3,1,1,2,3,1
10842871541,240382712,7/6/2019 0:58,7/6/2019 1:01,107.77.173.9,,,,,5,3,5,3,3,2,2,2,3,2,2,4,5,5,5,4,5,2,2,3,2,3,3,3,5
10842870857,240382712,7/6/2019 0:58,7/6/2019 1:00,71.204.161.151,,,,,5,5,4,3,3,4,5,4,5,2,3,4,5,5,5,5,5,4,4,3,3,3,3,2,4
10842863538,240382712,7/6/2019 0:47,7/6/2019 0:50,212.126.122.169,,,,,1,2,3,2,2,2,5,5,5,4,5,4,3,4,4,5,2,2,2,1,5,2,5,3,2
10842861629,240382712,7/6/2019 0:46,7/6/2019 0:47,71.204.161.151,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10842832018,240382712,7/7/2019 2:52,7/7/2019 2:52,174.230.129.87,,,,,1,1,1,4,5,1,1,1,1,1,1,5,4,5,1,4,2,5,4,5,4,5,4,4,5
10842816857,240382712,7/7/2019 15:52,7/7/2019 14:52,37.237.168.155,,,,,2,1,2,1,5,5,1,1,5,1,5,2,5,4,5,3,3,3,3,3,3,3,2,1,2
10842801696,240382712,7/7/2019 16:11,7/7/2019 16:15,107.77.173.100,,,,,2,2,5,3,2,1,4,1,3,2,5,2,3,2,1,1,5,2,1,4,3,3,1,1,1
